TARGET	EXPECTED_HASH	BEFORE_HASH	AFTER_HASH	BACKUP	STATE
/mnt/extra-addons/wuchang_core/data/breakfast_pos_menu.xml	5b66b676ffcd72c15b9936f01955c034154514c51733d5966d29073e730137d2	MISSING	HOLD	/home/taiji_admin/Taiji_Field_Seals/shadow/W7TP_REDTEAM_ACTIVE_FIELD_SEAL_20260614_063358_SHADOW_20260613_232406/deploy/W7TP_DEPLOY_STAGED_POS_PATCH_20260614_002123/backup/d6553c8a65d8a611fabd2e882b4be442deb2d5c13d498dcffca20868906ecd9a_breakfast_pos_menu.xml.before	HOLD_MKDIR
/mnt/extra-addons/wuchang_core/models/order.py	f81126ec946f636b0e38da77a5aa8d845645b926c8d87936eb15769287d32b29	MISSING	f81126ec946f636b0e38da77a5aa8d845645b926c8d87936eb15769287d32b29	/home/taiji_admin/Taiji_Field_Seals/shadow/W7TP_REDTEAM_ACTIVE_FIELD_SEAL_20260614_063358_SHADOW_20260613_232406/deploy/W7TP_DEPLOY_STAGED_POS_PATCH_20260614_002123/backup/71451d46e7ace89b71a83670d6ddabde1f5c07c84d529709728ea9231428d4cd_order.py.before	DEPLOYED_VERIFIED
/mnt/extra-addons/wuchang_core/models/pos_expense.py	f4a3f7ffd5ce003c5c70907e54492d0f97a035f9202060a98f710a6e36dfccd8	MISSING	f4a3f7ffd5ce003c5c70907e54492d0f97a035f9202060a98f710a6e36dfccd8	/home/taiji_admin/Taiji_Field_Seals/shadow/W7TP_REDTEAM_ACTIVE_FIELD_SEAL_20260614_063358_SHADOW_20260613_232406/deploy/W7TP_DEPLOY_STAGED_POS_PATCH_20260614_002123/backup/1dd443b52298fe2407e80138d01a0fe184f9f4a701ae8dbe9f0046d6be292984_pos_expense.py.before	DEPLOYED_VERIFIED
/mnt/extra-addons/wuchang_core/views/pos_config_views.xml	95401689ee5cc758286791abd7eb0755ce13edf9a76ba2f1fc787432703f1103	MISSING	95401689ee5cc758286791abd7eb0755ce13edf9a76ba2f1fc787432703f1103	/home/taiji_admin/Taiji_Field_Seals/shadow/W7TP_REDTEAM_ACTIVE_FIELD_SEAL_20260614_063358_SHADOW_20260613_232406/deploy/W7TP_DEPLOY_STAGED_POS_PATCH_20260614_002123/backup/7c93712abb98285bd1c1ae23c3361d01e02f18beae5fd12c89386ce21f4cbda8_pos_config_views.xml.before	DEPLOYED_VERIFIED
