id,name,list_price,type,categ_id/id,sale_ok,available_in_pos,barcode,default_code,uom_id/id
product_p_49180031,招牌咖啡,85,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180031,uom.product_uom_unit
product_p_49180040,特調咖啡,75,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180040,uom.product_uom_unit
product_p_49180058,咖啡拿鐵,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180058,uom.product_uom_unit
product_p_49180066,風味拿鐵,105,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180066,uom.product_uom_unit
product_p_49180049,美式咖啡,80,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180049,uom.product_uom_unit
product_p_49180067,卡布奇諾,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180067,uom.product_uom_unit
product_p_49180083,焦糖瑪奇朵,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180083,uom.product_uom_unit
product_p_49180075,莫卡,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180075,uom.product_uom_unit
product_p_49180091,經典拿鐵,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180091,uom.product_uom_unit
product_p_49180107,黑糖拿鐵,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180107,uom.product_uom_unit
product_p_49180115,榛果拿鐵,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180115,uom.product_uom_unit
product_p_49180123,香草拿鐵,90,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180123,uom.product_uom_unit
product_p_49180099,抹茶拿鐵,105,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180099,uom.product_uom_unit
product_p_49180131,薑汁拿鐵,105,consu,wuchang_comm_incub.categ_espresso,True,True,,P_49180131,uom.product_uom_unit
product_p_49180166,肯亞AA,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180166,uom.product_uom_unit
product_p_49180174,曼特寧,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180174,uom.product_uom_unit
product_p_49180182,衣索比亞,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180182,uom.product_uom_unit
product_p_49180190,瓜地馬拉,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180190,uom.product_uom_unit
product_p_49180198,薩爾瓦多,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180198,uom.product_uom_unit
product_p_49180206,巴西喜拉多,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180206,uom.product_uom_unit
product_p_49180214,哥倫比亞,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180214,uom.product_uom_unit
product_p_49180222,摩卡,110,consu,wuchang_comm_incub.categ_pourover,True,True,,P_49180222,uom.product_uom_unit
product_p_49180002,招牌奶茶,65,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180002,uom.product_uom_unit
product_p_49180010,高山青茶,60,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180010,uom.product_uom_unit
product_p_49180019,茉莉綠茶,60,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180019,uom.product_uom_unit
product_p_49180027,黃金烏龍,60,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180027,uom.product_uom_unit
product_p_49180085,抹茶牛奶,65,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180085,uom.product_uom_unit
product_p_49180036,伯爵紅茶,60,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180036,uom.product_uom_unit
product_p_49180044,錫蘭紅茶,60,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180044,uom.product_uom_unit
product_p_49180053,桂花烏龍,65,consu,wuchang_comm_incub.categ_tea,True,True,,P_49180053,uom.product_uom_unit
