original_path	vault_path	size_bytes	raw_sha256	file_type	listing_status	listing_path	listing_sha256	listing_count	owner	decision
git_space/bundles/20260606_194327/taiji_hub_main_20260606_194327_fad20bd.bundle	/home/taiji_admin/Taiji_Hub_bundle_hold/MAIN_BUNDLE_HOLD_20260620_122617/files/git_space/bundles/20260606_194327/taiji_hub_main_20260606_194327_fad20bd.bundle	12131430	711fcda17fd8ea8328841d221cfa420d52dad5e8d35628089b72ffe468b39afb	Git bundle	not_listed	/home/taiji_admin/Taiji_Hub_bundle_hold/MAIN_BUNDLE_HOLD_20260620_122617/listings/git_space__bundles__20260606_194327__taiji_hub_main_20260606_194327_fad20bd.bundle.listing.txt	f2f42a71db85f35d56082d6fe54154a33784035d598f82b50332e46d286d658c	0	BUNDLE_CUSTODY_WORKCELL	moved_out_of_repo_raw_sha256_and_listing_only_no_extract
git_space/bundles/20260606_203529/taiji_hub_main_20260606_203529_09e5bcf.bundle	/home/taiji_admin/Taiji_Hub_bundle_hold/MAIN_BUNDLE_HOLD_20260620_122617/files/git_space/bundles/20260606_203529/taiji_hub_main_20260606_203529_09e5bcf.bundle	12135154	0004f4fbbcb702548e6e78aedd5c43cb82348c1b83f346d5ace010441a21c392	Git bundle	not_listed	/home/taiji_admin/Taiji_Hub_bundle_hold/MAIN_BUNDLE_HOLD_20260620_122617/listings/git_space__bundles__20260606_203529__taiji_hub_main_20260606_203529_09e5bcf.bundle.listing.txt	f2f42a71db85f35d56082d6fe54154a33784035d598f82b50332e46d286d658c	0	BUNDLE_CUSTODY_WORKCELL	moved_out_of_repo_raw_sha256_and_listing_only_no_extract
git_space/bundles/taiji_hub_20260605_182104.bundle	/home/taiji_admin/Taiji_Hub_bundle_hold/MAIN_BUNDLE_HOLD_20260620_122617/files/git_space/bundles/taiji_hub_20260605_182104.bundle	12094801	5c0d1925c4504f74e69d8913b3cc5c8f760f31d07178f8c57f3840876b8bf8cd	Git bundle	not_listed	/home/taiji_admin/Taiji_Hub_bundle_hold/MAIN_BUNDLE_HOLD_20260620_122617/listings/git_space__bundles__taiji_hub_20260605_182104.bundle.listing.txt	f2f42a71db85f35d56082d6fe54154a33784035d598f82b50332e46d286d658c	0	BUNDLE_CUSTODY_WORKCELL	moved_out_of_repo_raw_sha256_and_listing_only_no_extract
